ZIP,week,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,stay_home_ratio,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,week3
90020,2020/4/26,155,50,1665,3930,779,939,11,98,39102,34603,0.003963992,0.001278734,1,0.467867868,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,40
90020,2020/5/3,201,46,1635,3755,789,952,8,99,39102,34603,0.0051404020000000005,0.001176388,1,0.482568807,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,42
90020,2020/5/10,241,40,1689,3380,814,978,8,99,39102,34603,0.006163368000000001,0.00102297,1,0.481941978,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,44
90022,2020/3/22,2,2,1587,4777,660,728,21,97,65890,15036,3.04e-05,3.04e-05,1,0.415879017,58.0,37.0,55.0,-35.0,-3.0,-28.0,-39.0,-33.0,16.0,35
90022,2020/3/29,9,7,1612,4916,667,870,23,97,65890,15036,0.000136591,0.0001064,1,0.413771712,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,47
90022,2020/4/5,44,35,1770,4683,830,901,11,98,65890,15036,0.00066778,0.00053126,1,0.468926554,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,41
90022,2020/4/12,91,47,1664,4775,829,964,6,99,65890,15036,0.00138109,0.000713342,1,0.498197115,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,176
90022,2020/4/19,132,41,1537,4897,695,973,14,98,65890,15036,0.002003339,0.000622352,1,0.452179571,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,96
90022,2020/4/26,308,176,1648,4649,703,857,18,97,65890,15036,0.004674457,0.002671142,1,0.42657767,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,72
90022,2020/5/3,404,96,1617,5014,700,822,18,97,65890,15036,0.006131431,0.0014570120000000002,1,0.432900433,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,82
90022,2020/5/10,476,72,1675,4816,716,816,17,97,65890,15036,0.007224161,0.0010928239999999998,1,0.427462687,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,173
90024,2020/3/22,5,4,1395,41557,434,289,241,54,50288,17186,9.940000000000003e-05,7.96e-05,2,0.311111111,58.0,37.0,55.0,-35.0,-3.0,-28.0,-39.0,-33.0,16.0,10
90024,2020/3/29,22,17,1418,43750,423,423,487,46,50288,17186,0.00043748,0.00033810000000000003,2,0.298307475,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,7
90024,2020/4/5,27,10,1479,44044,542,472,371,55,50288,17186,0.000536907,0.0001989,2,0.366463827,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,6
90024,2020/4/12,34,7,1370,45126,541,535,378,58,50288,17186,0.0006761060000000001,0.0001393,2,0.394890511,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,5
90024,2020/4/19,38,6,1291,43617,476,510,387,56,50288,17186,0.000755647,0.0001194,2,0.368706429,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,9
